question_id;question_text;survey_name;directorate
Q00001;Apakah Anda menggunakan internet untuk kegiatan usaha?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00002;Berapa jarak ke fasilitas kesehatan terdekat?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00003;Apakah rumah tangga memiliki akses sanitasi layak?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00004;Berapa pendapatan usaha bulan lalu?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00005;Berapa jumlah pekerja tetap di usaha ini?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00006;Apa hubungan Anda dengan kepala rumah tangga?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00007;Apakah Anda menggunakan pupuk subsidi?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00008;Apakah rumah memiliki sumber air minum layak?;Survei Industri;Direktorat Statistik Industri
Q00009;Bagaimana kondisi bangunan tempat tinggal?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00010;Berapa jarak ke fasilitas kesehatan terdekat?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00011;Apakah rumah memiliki sumber air minum layak?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00012;Bagaimana kondisi bangunan tempat tinggal?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00013;Berapa jarak ke fasilitas kesehatan terdekat?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00014;Bagaimana kondisi bangunan tempat tinggal?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00015;Berapa produksi komoditas utama musim panen terakhir?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00016;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Penduduk;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00017;Apakah rumah tangga memiliki akses sanitasi layak?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00018;Berapa produksi komoditas utama musim panen terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00019;Apakah anggota rumah tangga memiliki jaminan kesehatan?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00020;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00021;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei Industri;Direktorat Statistik Industri
Q00022;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00023;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Industri;Direktorat Statistik Industri
Q00024;Apa hubungan Anda dengan kepala rumah tangga?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00025;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;Survei Industri;Direktorat Statistik Industri
Q00026;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00027;Apakah rumah memiliki sumber air minum layak?;Survei Industri;Direktorat Statistik Industri
Q00028;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00029;Apa jenis pekerjaan utama Anda?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00030;Apa tingkat pendidikan tertinggi yang diselesaikan?;Survei Industri;Direktorat Statistik Industri
Q00031;Apakah Anda bekerja dalam seminggu terakhir?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00032;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Survei UMKM;Direktorat Statistik Distribusi dan Jasa
Q00033;Apakah rumah memiliki sumber air minum layak?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00034;Apakah Anda menggunakan pupuk subsidi?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00035;Apa hubungan Anda dengan kepala rumah tangga?;Survei Industri;Direktorat Statistik Industri
Q00036;Apakah Anda bekerja dalam seminggu terakhir?;Sensus Pertanian;Direktorat Statistik Pertanian
Q00037;Apakah Anda pernah pindah tempat tinggal dalam lima tahun?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00038;Apakah Anda bekerja dalam seminggu terakhir?;Survei Industri;Direktorat Statistik Industri
Q00039;Apakah Anda menggunakan internet untuk kegiatan usaha?;Survei Industri;Direktorat Statistik Industri
Q00040;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00041;Apa jenis pekerjaan utama Anda?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00042;Berapa jarak ke fasilitas kesehatan terdekat?;Survei Industri;Direktorat Statistik Industri
Q00043;Bagaimana kondisi bangunan tempat tinggal?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00044;Berapa pendapatan usaha bulan lalu?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00045;Apakah anggota rumah tangga memiliki jaminan kesehatan?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00046;Apakah Anda menggunakan internet untuk kegiatan usaha?;Sakernas;Direktorat Statistik Kependudukan dan Ketenagakerjaan
Q00047;Apa tingkat pendidikan tertinggi yang diselesaikan?;Survei Hortikultura;Direktorat Statistik Pertanian
Q00048;Apakah rumah tangga memelihara ternak dalam setahun terakhir?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00049;Berapa jumlah anggota rumah tangga di tempat tinggal ini?;Sensus Perumahan;Direktorat Statistik Perumahan dan Kawasan Permukiman
Q00050;Apakah rumah memiliki sumber air minum layak?;Survei Industri;Direktorat Statistik Industri
Q00051;Berapa pengeluaran konsumsi pangan rumah tangga bulan lalu?;SUSENAS;Direktorat Statistik Kesejahteraan Rakyat
Q00052;Apakah Anda menggunakan pupuk subsidi?;Survei Hortikultura;Direktorat Statistik Pertanian
