id1,id2,survey1,survey2,question1,question2,similarity
Q00001,Q01369,Sensus Pertanian,Sakernas,Bisakah Anda menyebutkan kendaraan rumah tangga yang keseluruhan terkait lingkungan tempat tinggal?,Bisakah Anda menyebutkan kendaraan rumah tangga yang total terkait lingkungan tempat tinggal?,0.991576075553894
Q00001,Q07156,Sensus Pertanian,Survei Hortikultura,Bisakah Anda menyebutkan kendaraan rumah tangga yang keseluruhan terkait lingkungan tempat tinggal?,Bisakah Anda menyebutkan kendaraan rumah tangga yang utama terkait lingkungan tempat tinggal?,0.9701166749000549
Q00001,Q07977,Sensus Pertanian,Sensus Pertanian,Bisakah Anda menyebutkan kendaraan rumah tangga yang keseluruhan terkait lingkungan tempat tinggal?,Bisakah Anda menyebutkan kendaraan rumah tangga yang aktual terkait lingkungan tempat tinggal?,0.9549401998519897
Q00001,Q08138,Sensus Pertanian,Survei Industri,Bisakah Anda menyebutkan kendaraan rumah tangga yang keseluruhan terkait lingkungan tempat tinggal?,Bisakah Anda menyebutkan kendaraan rumah tangga yang perkiraan terkait lingkungan tempat tinggal?,0.9548166394233704
Q00001,Q02695,Sensus Pertanian,Sensus Penduduk,Bisakah Anda menyebutkan kendaraan rumah tangga yang keseluruhan terkait lingkungan tempat tinggal?,Bisakah Anda menyebutkan kendaraan rumah tangga yang dominan terkait lingkungan tempat tinggal?,0.9337092041969299
Q00001,Q01586,Sensus Pertanian,Sensus Perumahan,Bisakah Anda menyebutkan kendaraan rumah tangga yang keseluruhan terkait lingkungan tempat tinggal?,Apa jenis kendaraan rumah tangga yang dicatat rumah tangga dalam lingkungan tempat tinggal?,0.929865300655365
Q00001,Q02431,Sensus Pertanian,Sensus Perumahan,Bisakah Anda menyebutkan kendaraan rumah tangga yang keseluruhan terkait lingkungan tempat tinggal?,Apa jenis kendaraan rumah tangga yang dialami rumah tangga dalam lingkungan tempat tinggal?,0.9265944361686707
Q00001,Q02483,Sensus Pertanian,Sensus Perumahan,Bisakah Anda menyebutkan kendaraan rumah tangga yang keseluruhan terkait lingkungan tempat tinggal?,Mohon sebutkan kendaraan rumah tangga yang dimiliki di lingkungan tempat tinggal.,0.9242354035377502
Q00001,Q03194,Sensus Pertanian,Sensus Pertanian,Bisakah Anda menyebutkan kendaraan rumah tangga yang keseluruhan terkait lingkungan tempat tinggal?,Mohon sebutkan kendaraan rumah tangga yang dikelola di lingkungan tempat tinggal.,0.915083646774292
Q00002,Q04943,Sensus Pertanian,SUSENAS,Berapa aktual jumlah anggota keluarga dalam wilayah ini ini?,Berapa total jumlah anggota keluarga dalam wilayah ini ini?,0.9885263442993164
